timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:41:00.050, 100 %, 92079 MiB, 335.25 W, 52, 2422 MHz
2026/08/15 03:41:05.051, 100 %, 92079 MiB, 335.63 W, 52, 2422 MHz
2026/08/15 03:41:10.051, 68 %, 92079 MiB, 329.45 W, 53, 2422 MHz
2026/08/15 03:41:15.052, 100 %, 92079 MiB, 336.12 W, 52, 2422 MHz
2026/08/15 03:41:20.052, 100 %, 92079 MiB, 336.87 W, 52, 2422 MHz
2026/08/15 03:41:25.053, 100 %, 92079 MiB, 339.63 W, 52, 2422 MHz
2026/08/15 03:41:30.054, 100 %, 92079 MiB, 340.78 W, 53, 2422 MHz
2026/08/15 03:41:35.054, 100 %, 92079 MiB, 344.65 W, 53, 2422 MHz
2026/08/15 03:41:40.055, 100 %, 92079 MiB, 340.06 W, 53, 2422 MHz
2026/08/15 03:41:45.055, 100 %, 92079 MiB, 340.93 W, 53, 2422 MHz
2026/08/15 03:41:50.056, 100 %, 92079 MiB, 341.38 W, 53, 2422 MHz
2026/08/15 03:41:55.056, 0 %, 1697 MiB, 89.83 W, 47, 2422 MHz
2026/08/15 03:42:00.057, 0 %, 0 MiB, 87.59 W, 45, 2422 MHz
2026/08/15 03:42:05.058, 0 %, 0 MiB, 50.41 W, 42, 180 MHz
2026/08/15 03:42:10.058, 0 %, 3 MiB, 34.00 W, 40, 180 MHz
2026/08/15 03:42:15.061, 0 %, 3 MiB, 31.81 W, 38, 180 MHz
2026/08/15 03:42:20.062, 0 %, 3 MiB, 31.32 W, 37, 180 MHz
2026/08/15 03:42:25.063, 0 %, 1583 MiB, 88.51 W, 38, 2340 MHz
2026/08/15 03:42:30.063, 15 %, 31451 MiB, 93.47 W, 38, 2340 MHz
2026/08/15 03:42:35.064, 0 %, 84661 MiB, 89.85 W, 38, 2340 MHz
2026/08/15 03:42:40.064, 43 %, 85443 MiB, 226.04 W, 44, 2362 MHz
2026/08/15 03:42:45.065, 3 %, 85701 MiB, 155.39 W, 41, 2325 MHz
2026/08/15 03:42:50.066, 4 %, 85747 MiB, 96.56 W, 40, 2340 MHz
2026/08/15 03:42:55.066, 17 %, 85993 MiB, 139.35 W, 40, 2317 MHz
2026/08/15 03:43:00.067, 9 %, 86373 MiB, 114.02 W, 40, 2332 MHz
2026/08/15 03:43:05.067, 97 %, 87221 MiB, 323.66 W, 44, 2317 MHz
2026/08/15 03:43:10.068, 97 %, 87221 MiB, 306.50 W, 45, 2422 MHz
2026/08/15 03:43:15.068, 97 %, 87221 MiB, 298.98 W, 46, 2422 MHz
2026/08/15 03:43:20.069, 97 %, 87365 MiB, 305.47 W, 46, 2422 MHz
2026/08/15 03:43:25.069, 98 %, 87365 MiB, 303.19 W, 47, 2422 MHz
2026/08/15 03:43:30.070, 97 %, 87365 MiB, 306.57 W, 48, 2422 MHz
2026/08/15 03:43:35.070, 98 %, 87365 MiB, 306.79 W, 48, 2422 MHz
2026/08/15 03:43:40.071, 97 %, 87365 MiB, 307.50 W, 49, 2422 MHz
2026/08/15 03:43:45.072, 97 %, 87365 MiB, 307.63 W, 49, 2422 MHz
2026/08/15 03:43:50.072, 97 %, 87365 MiB, 308.21 W, 49, 2422 MHz
2026/08/15 03:43:55.073, 97 %, 87365 MiB, 308.47 W, 49, 2422 MHz
2026/08/15 03:44:00.073, 98 %, 87365 MiB, 309.32 W, 49, 2422 MHz
2026/08/15 03:44:05.074, 97 %, 87365 MiB, 309.46 W, 50, 2422 MHz
2026/08/15 03:44:10.075, 98 %, 87365 MiB, 309.40 W, 50, 2422 MHz
2026/08/15 03:44:15.075, 97 %, 87365 MiB, 309.82 W, 50, 2422 MHz
2026/08/15 03:44:20.076, 98 %, 87365 MiB, 310.16 W, 50, 2422 MHz
2026/08/15 03:44:25.076, 98 %, 87365 MiB, 310.25 W, 50, 2422 MHz
2026/08/15 03:44:30.077, 98 %, 89527 MiB, 389.82 W, 53, 2415 MHz
2026/08/15 03:44:35.077, 53 %, 89527 MiB, 371.18 W, 53, 2415 MHz
2026/08/15 03:44:40.078, 97 %, 89527 MiB, 391.87 W, 54, 2415 MHz
2026/08/15 03:44:45.079, 98 %, 92551 MiB, 423.41 W, 56, 2392 MHz
2026/08/15 03:44:50.079, 98 %, 92551 MiB, 425.19 W, 57, 2392 MHz
