timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 01:20:01.251, 0 %, 1583 MiB, 89.18 W, 37, 2332 MHz
2026/08/15 01:20:06.252, 1 %, 17447 MiB, 90.85 W, 37, 2332 MHz
2026/08/15 01:20:11.252, 17 %, 31451 MiB, 92.60 W, 37, 2340 MHz
2026/08/15 01:20:16.253, 95 %, 85263 MiB, 191.04 W, 41, 2317 MHz
2026/08/15 01:20:21.253, 10 %, 85497 MiB, 220.05 W, 42, 2332 MHz
2026/08/15 01:20:26.254, 25 %, 85739 MiB, 122.43 W, 39, 2340 MHz
2026/08/15 01:20:31.254, 0 %, 85891 MiB, 196.87 W, 40, 2302 MHz
2026/08/15 01:20:36.255, 0 %, 86029 MiB, 116.15 W, 38, 2340 MHz
2026/08/15 01:20:41.255, 0 %, 87029 MiB, 89.48 W, 38, 2340 MHz
2026/08/15 01:20:46.256, 97 %, 87399 MiB, 331.72 W, 44, 2317 MHz
2026/08/15 01:20:51.256, 97 %, 87399 MiB, 315.77 W, 45, 2415 MHz
2026/08/15 01:20:56.257, 97 %, 87777 MiB, 319.21 W, 46, 2422 MHz
2026/08/15 01:21:01.258, 97 %, 87777 MiB, 313.14 W, 46, 2422 MHz
2026/08/15 01:21:06.258, 97 %, 87777 MiB, 313.66 W, 47, 2422 MHz
2026/08/15 01:21:11.259, 97 %, 87777 MiB, 313.90 W, 47, 2422 MHz
2026/08/15 01:21:16.259, 97 %, 87777 MiB, 314.88 W, 48, 2422 MHz
2026/08/15 01:21:21.260, 97 %, 87777 MiB, 314.96 W, 48, 2422 MHz
2026/08/15 01:21:26.260, 97 %, 89793 MiB, 389.13 W, 51, 2415 MHz
2026/08/15 01:21:31.261, 98 %, 89793 MiB, 390.47 W, 52, 2415 MHz
2026/08/15 01:21:36.261, 98 %, 89795 MiB, 391.94 W, 53, 2415 MHz
2026/08/15 01:21:41.262, 99 %, 89795 MiB, 362.14 W, 55, 2385 MHz
2026/08/15 01:21:46.263, 98 %, 89795 MiB, 459.53 W, 57, 2385 MHz
2026/08/15 01:21:51.263, 69 %, 91379 MiB, 418.05 W, 54, 2392 MHz
2026/08/15 01:21:56.264, 98 %, 91379 MiB, 459.83 W, 58, 2385 MHz
2026/08/15 01:22:01.264, 97 %, 91379 MiB, 409.07 W, 56, 2415 MHz
2026/08/15 01:22:06.265, 98 %, 91379 MiB, 392.99 W, 56, 2415 MHz
2026/08/15 01:22:11.265, 0 %, 1699 MiB, 87.60 W, 47, 2422 MHz
2026/08/15 01:22:16.266, 0 %, 0 MiB, 51.38 W, 43, 195 MHz
2026/08/15 01:22:21.266, 0 %, 0 MiB, 33.44 W, 41, 180 MHz
2026/08/15 01:22:26.267, 0 %, 3 MiB, 32.94 W, 39, 180 MHz
2026/08/15 01:22:31.267, 0 %, 3 MiB, 32.09 W, 37, 180 MHz
2026/08/15 01:22:36.268, 0 %, 1583 MiB, 87.83 W, 38, 2340 MHz
2026/08/15 01:22:41.269, 12 %, 31451 MiB, 91.92 W, 38, 2340 MHz
2026/08/15 01:22:46.269, 0 %, 36801 MiB, 89.86 W, 37, 2340 MHz
2026/08/15 01:22:51.270, 25 %, 85937 MiB, 310.11 W, 43, 2340 MHz
2026/08/15 01:22:56.270, 33 %, 86177 MiB, 192.78 W, 43, 2310 MHz
2026/08/15 01:23:01.271, 25 %, 86429 MiB, 124.98 W, 40, 2325 MHz
2026/08/15 01:23:06.271, 0 %, 86345 MiB, 140.86 W, 39, 2325 MHz
2026/08/15 01:23:11.272, 97 %, 87707 MiB, 256.50 W, 44, 2317 MHz
2026/08/15 01:23:16.272, 97 %, 87707 MiB, 316.09 W, 45, 2422 MHz
2026/08/15 01:23:21.273, 97 %, 88105 MiB, 312.05 W, 46, 2422 MHz
2026/08/15 01:23:26.273, 97 %, 88105 MiB, 305.76 W, 46, 2422 MHz
2026/08/15 01:23:31.274, 84 %, 88105 MiB, 307.46 W, 47, 2422 MHz
2026/08/15 01:23:36.274, 96 %, 88105 MiB, 314.11 W, 47, 2422 MHz
2026/08/15 01:23:41.275, 97 %, 88105 MiB, 314.27 W, 48, 2422 MHz
2026/08/15 01:23:46.275, 97 %, 88105 MiB, 315.08 W, 48, 2422 MHz
2026/08/15 01:23:51.276, 97 %, 88105 MiB, 315.35 W, 48, 2422 MHz
2026/08/15 01:23:56.276, 98 %, 90269 MiB, 388.77 W, 51, 2415 MHz
2026/08/15 01:24:01.277, 98 %, 90269 MiB, 391.52 W, 53, 2415 MHz
2026/08/15 01:24:06.277, 98 %, 90269 MiB, 391.38 W, 53, 2415 MHz
2026/08/15 01:24:11.278, 90 %, 93005 MiB, 347.34 W, 55, 2385 MHz
2026/08/15 01:24:16.279, 98 %, 93005 MiB, 457.71 W, 57, 2385 MHz
2026/08/15 01:24:21.279, 98 %, 93005 MiB, 413.92 W, 57, 2392 MHz
2026/08/15 01:24:26.280, 98 %, 93005 MiB, 460.59 W, 59, 2385 MHz
2026/08/15 01:24:31.280, 97 %, 93005 MiB, 398.82 W, 56, 2415 MHz
2026/08/15 01:24:36.281, 97 %, 93005 MiB, 392.85 W, 57, 2415 MHz
2026/08/15 01:24:41.281, 0 %, 1699 MiB, 87.93 W, 47, 2422 MHz
2026/08/15 01:24:46.282, 0 %, 0 MiB, 52.09 W, 44, 397 MHz
2026/08/15 01:24:51.283, 0 %, 0 MiB, 38.19 W, 41, 180 MHz
2026/08/15 01:24:56.283, 0 %, 3 MiB, 33.65 W, 39, 180 MHz
2026/08/15 01:25:01.284, 0 %, 3 MiB, 32.57 W, 38, 180 MHz
2026/08/15 01:25:06.284, 0 %, 1583 MiB, 89.56 W, 38, 2332 MHz
2026/08/15 01:25:11.285, 15 %, 31451 MiB, 91.06 W, 38, 2340 MHz
2026/08/15 01:25:16.285, 0 %, 31647 MiB, 90.68 W, 37, 2340 MHz
2026/08/15 01:25:21.286, 100 %, 86887 MiB, 457.99 W, 53, 2415 MHz
2026/08/15 01:25:26.286, 65 %, 86973 MiB, 439.68 W, 56, 2377 MHz
2026/08/15 01:25:31.287, 25 %, 87243 MiB, 201.02 W, 46, 2377 MHz
2026/08/15 01:25:36.287, 25 %, 87493 MiB, 135.97 W, 42, 2325 MHz
2026/08/15 01:25:41.288, 33 %, 86821 MiB, 175.65 W, 43, 2302 MHz
2026/08/15 01:25:46.288, 0 %, 87945 MiB, 97.00 W, 40, 2340 MHz
2026/08/15 01:25:51.289, 97 %, 88255 MiB, 315.14 W, 45, 2422 MHz
2026/08/15 01:25:56.289, 97 %, 88653 MiB, 284.74 W, 46, 2422 MHz
2026/08/15 01:26:01.290, 97 %, 88653 MiB, 313.42 W, 47, 2422 MHz
2026/08/15 01:26:06.291, 97 %, 88653 MiB, 313.85 W, 47, 2422 MHz
2026/08/15 01:26:11.291, 97 %, 88653 MiB, 314.14 W, 48, 2422 MHz
2026/08/15 01:26:16.292, 97 %, 88653 MiB, 314.74 W, 48, 2422 MHz
2026/08/15 01:26:21.292, 97 %, 88653 MiB, 314.98 W, 48, 2422 MHz
2026/08/15 01:26:26.293, 97 %, 88653 MiB, 314.61 W, 49, 2422 MHz
2026/08/15 01:26:31.293, 75 %, 89663 MiB, 308.34 W, 49, 2422 MHz
2026/08/15 01:26:36.294, 98 %, 90815 MiB, 390.37 W, 52, 2415 MHz
2026/08/15 01:26:41.294, 97 %, 90815 MiB, 391.16 W, 53, 2415 MHz
2026/08/15 01:26:46.295, 98 %, 90815 MiB, 393.34 W, 54, 2415 MHz
