timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:22:56.202, 100 %, 92077 MiB, 330.89 W, 52, 2422 MHz
2026/08/15 02:23:01.203, 100 %, 92079 MiB, 329.89 W, 52, 2422 MHz
2026/08/15 02:23:06.203, 100 %, 92079 MiB, 330.89 W, 52, 2422 MHz
2026/08/15 02:23:11.204, 100 %, 92079 MiB, 331.22 W, 52, 2422 MHz
2026/08/15 02:23:16.204, 100 %, 93519 MiB, 334.93 W, 53, 2422 MHz
2026/08/15 02:23:21.205, 100 %, 93519 MiB, 335.30 W, 52, 2422 MHz
2026/08/15 02:23:26.205, 100 %, 93519 MiB, 336.43 W, 53, 2422 MHz
2026/08/15 02:23:31.206, 100 %, 93519 MiB, 335.20 W, 53, 2422 MHz
2026/08/15 02:23:36.206, 100 %, 93519 MiB, 335.79 W, 53, 2422 MHz
2026/08/15 02:23:41.207, 100 %, 93519 MiB, 336.42 W, 53, 2422 MHz
2026/08/15 02:23:46.207, 0 %, 1697 MiB, 84.22 W, 47, 2430 MHz
2026/08/15 02:23:51.208, 0 %, 0 MiB, 52.11 W, 44, 495 MHz
2026/08/15 02:23:56.209, 0 %, 0 MiB, 37.91 W, 42, 180 MHz
2026/08/15 02:24:01.209, 0 %, 3 MiB, 34.85 W, 40, 180 MHz
2026/08/15 02:24:06.210, 0 %, 3 MiB, 33.92 W, 38, 180 MHz
2026/08/15 02:24:11.210, 0 %, 1583 MiB, 87.19 W, 38, 2332 MHz
2026/08/15 02:24:16.211, 1 %, 2501 MiB, 88.23 W, 38, 2332 MHz
2026/08/15 02:24:21.211, 0 %, 31647 MiB, 89.65 W, 38, 2332 MHz
2026/08/15 02:24:26.212, 64 %, 85297 MiB, 327.30 W, 48, 2340 MHz
2026/08/15 02:24:31.212, 22 %, 85543 MiB, 196.92 W, 43, 2302 MHz
2026/08/15 02:24:36.213, 26 %, 85791 MiB, 119.19 W, 40, 2325 MHz
2026/08/15 02:24:41.213, 46 %, 85901 MiB, 111.15 W, 40, 2317 MHz
2026/08/15 02:24:46.213, 2 %, 86049 MiB, 101.68 W, 40, 2340 MHz
2026/08/15 02:24:51.214, 0 %, 86851 MiB, 87.13 W, 38, 2332 MHz
2026/08/15 02:24:56.214, 97 %, 87219 MiB, 321.93 W, 44, 2325 MHz
2026/08/15 02:25:01.215, 98 %, 87219 MiB, 297.63 W, 45, 2422 MHz
2026/08/15 02:25:06.215, 98 %, 87219 MiB, 300.34 W, 46, 2422 MHz
2026/08/15 02:25:11.216, 98 %, 87363 MiB, 301.09 W, 47, 2422 MHz
2026/08/15 02:25:16.216, 98 %, 87363 MiB, 301.47 W, 47, 2422 MHz
2026/08/15 02:25:21.217, 98 %, 87363 MiB, 301.97 W, 48, 2422 MHz
2026/08/15 02:25:26.217, 98 %, 87363 MiB, 303.21 W, 48, 2422 MHz
2026/08/15 02:25:31.218, 97 %, 87363 MiB, 302.25 W, 48, 2422 MHz
2026/08/15 02:25:36.218, 98 %, 87363 MiB, 303.89 W, 49, 2422 MHz
2026/08/15 02:25:41.219, 97 %, 87363 MiB, 303.98 W, 49, 2422 MHz
2026/08/15 02:25:46.219, 90 %, 87363 MiB, 326.27 W, 50, 2377 MHz
2026/08/15 02:25:51.220, 97 %, 87363 MiB, 305.56 W, 50, 2422 MHz
2026/08/15 02:25:56.220, 97 %, 87363 MiB, 305.59 W, 50, 2422 MHz
2026/08/15 02:26:01.221, 98 %, 87363 MiB, 304.95 W, 50, 2422 MHz
2026/08/15 02:26:06.221, 97 %, 87363 MiB, 304.71 W, 50, 2422 MHz
2026/08/15 02:26:11.222, 97 %, 87363 MiB, 306.17 W, 50, 2422 MHz
2026/08/15 02:26:16.222, 97 %, 87363 MiB, 305.07 W, 50, 2422 MHz
2026/08/15 02:26:21.223, 97 %, 89527 MiB, 384.91 W, 53, 2415 MHz
2026/08/15 02:26:26.223, 97 %, 89527 MiB, 386.30 W, 54, 2422 MHz
2026/08/15 02:26:31.224, 98 %, 89527 MiB, 388.25 W, 55, 2422 MHz
2026/08/15 02:26:36.224, 98 %, 90967 MiB, 420.18 W, 57, 2407 MHz
2026/08/15 02:26:41.225, 98 %, 90967 MiB, 421.01 W, 57, 2407 MHz
2026/08/15 02:26:46.226, 98 %, 92839 MiB, 421.18 W, 58, 2407 MHz
2026/08/15 02:26:51.226, 97 %, 92839 MiB, 421.35 W, 58, 2407 MHz
